architecture,d,p,rounds,kernel,seed,n_train,n_test,epochs,epochs_ran,batch_size,n_params,p_L,mwpm_p_L,best_val_loss,train_time_s,host,tf_version
FullRCNNModel,5,0.01,3,3,0,100000,200000,50,50,10000,51547,0.221495,0.049185,0.43693,256.4,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,1,100000,200000,50,50,10000,51547,0.2089,0.049185,0.42193,280.2,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,2,100000,200000,50,50,10000,51547,0.208025,0.049185,0.4158,275.4,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,3,100000,200000,50,50,10000,51547,0.20348,0.049185,0.41289,266.0,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,4,100000,200000,50,50,10000,51547,0.17449,0.049185,0.36508,263.1,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,0,300000,200000,50,50,10000,51547,0.13335,0.049185,0.29211,725.5,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,1,300000,200000,50,50,10000,51547,0.143705,0.049185,0.31023,730.4,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,2,300000,200000,50,50,10000,51547,0.139055,0.049185,0.29818,821.1,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,3,300000,200000,50,50,10000,51547,0.11973,0.049185,0.26992,894.5,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,4,300000,200000,50,50,10000,51547,0.122735,0.049185,0.26897,963.3,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,0,800000,200000,50,50,10000,51547,0.118885,0.049185,0.25871,2202.9,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,1,800000,200000,50,50,10000,51547,0.071255,0.049185,0.17265,1922.4,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,2,800000,200000,50,50,10000,51547,0.080185,0.049185,0.18783,2012.8,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,3,800000,200000,50,50,10000,51547,0.072805,0.049185,0.17436,1919.1,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,4,800000,200000,50,50,10000,51547,0.07654,0.049185,0.18186,1947.0,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,0,2000000,200000,50,50,10000,51547,0.053925,0.049185,0.13507,5604.0,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,1,2000000,200000,50,50,10000,51547,0.055155,0.049185,0.13653,4951.7,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,2,2000000,200000,50,50,10000,51547,0.055385,0.049185,0.13772,5668.4,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,3,2000000,200000,50,50,10000,51547,0.05226,0.049185,0.13154,6460.0,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,4,2000000,200000,50,50,10000,51547,0.05496,0.049185,0.13636,5970.3,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,0,5000000,200000,50,50,10000,51547,0.04884,0.049185,0.12407,12763.1,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,1,5000000,200000,50,50,10000,51547,0.04829,0.049185,0.12199,12272.6,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,2,5000000,200000,50,50,10000,51547,0.048355,0.049185,0.12186,14828.2,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,3,5000000,200000,50,50,10000,51547,0.04978,0.049185,0.12505,13097.2,Darwin-arm64,2.15.1
FullRCNNModel,5,0.01,3,3,4,5000000,200000,50,50,10000,51547,0.04885,0.049185,0.12428,14025.3,Darwin-arm64,2.15.1
