experiment,dir,file,arch,n_train,n_test,seed,w_bits,a_bits,alpha,p_L,mwpm_p_L,mwpm_source,test_pool,train_pool_dir,run_utc,mtime
unknown (),,rcnn_d5_p0.010_r3_w6_a32_seed2_ntr100000.csv,FullRCNNModel_QAT,100000,2000,2,6,32,,0.276,0.0451,,same-pool-tail,,,2026-07-19
unknown (),,rcnn_d5_p0.010_r3_w6_a32_seed2_ntr10000000.csv,FullRCNNModel_QAT,10000000,2000,2,6,32,,0.051,0.0451,,same-pool-tail,,,2026-07-19
unknown (),,inventory_before_pools_t200k.csv,,100000,2000,2,,,,0.276,0.0451,,same-pool-tail,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,2000,2,,,,0.051,0.0451,,same-pool-tail,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,100000,10000,0,,,,0.2056,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,10000,0,,,,0.0451,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,2000000,10000,0,,,,0.0515,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,300000,10000,0,,,,0.1452,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,5000000,10000,0,,,,0.0494,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,800000,10000,0,,,,0.0843,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,100000,10000,1,,,,0.2415,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,10000,1,,,,0.0442,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,2000000,10000,1,,,,0.0523,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,300000,10000,1,,,,0.1263,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,5000000,10000,1,,,,0.047,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,800000,10000,1,,,,0.0798,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,100000,10000,2,,,,0.2284,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,10000,2,,,,0.0463,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,2000000,10000,2,,,,0.0635,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,300000,10000,2,,,,0.1353,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,5000000,10000,2,,,,0.0502,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,800000,10000,2,,,,0.0778,0.0451,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,200000,10000,0,,,,0.2644,0.0891,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.04591,0.04909,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.052455,0.04909,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.04458,0.04909,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,20000000,200000,0,,,,0.04591,0.04909,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,20000000,200000,1,,,,0.052455,0.04909,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,20000000,200000,2,,,,0.04458,0.04909,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.04553,0.049405,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.046395,0.049405,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.04651,0.049405,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.04553,0.049405,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.046395,0.049405,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,,200000,,,,,0.04651,0.049405,,,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,0,,,,0.115335,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,1,,,,0.128855,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,2,,,,0.139705,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,0,,,,0.059895,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,1,,,,0.06436,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,2,,,,0.05923,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,0,,,,0.057425,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,1,,,,0.053295,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,2,,,,0.05319,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,0,,,,0.046755,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
unknown (),,inventory_before_pools_t200k.csv,,10000000,200000,1,,,,0.047035,0.0451,,data_d5_p0.010_r3_TAIL200k.npz,,,2026-07-31
