architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,0,10000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.055255,0.04875,1.1334,0.28042,1,0.046265,0.96664,0.83757,0.99825,39345,0.19673,0.2472,0.20793,0.05-0.95,0.14194,190.6,2026-08-02T05:08:39Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,10000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.054825,0.04875,1.1246,0.28042,1,0.046265,0.96747,0.84133,0.99836,39345,0.19673,0.24532,0.20793,0.05-0.95,0.14107,199.0,2026-08-02T05:12:12Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,10000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.05693,0.04875,1.1678,0.28042,1,0.046265,0.96412,0.82788,0.99748,39345,0.19673,0.25292,0.20793,0.05-0.95,0.14476,197.5,2026-08-02T05:15:54Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,100000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.179355,0.04875,3.6791,0.28042,1,0.046265,0.82854,0.62488,0.87842,39345,0.19673,0.40274,0.20793,0.05-0.95,0.36546,5.1,2026-08-02T04:56:57Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,100000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.179785,0.04875,3.6879,0.28042,1,0.046265,0.82817,0.626,0.87768,39345,0.19673,0.40188,0.20793,0.05-0.95,0.36664,5.2,2026-08-02T04:57:12Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,100000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.179545,0.04875,3.683,0.28042,1,0.046265,0.82863,0.62557,0.87836,39345,0.19673,0.40348,0.20793,0.05-0.95,0.36544,5.2,2026-08-02T04:57:27Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,2000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.071755,0.04875,1.4719,0.28042,1,0.046265,0.94502,0.7682,0.98832,39345,0.19673,0.29246,0.20793,0.05-0.95,0.17395,42.3,2026-08-02T05:00:10Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,2000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.06737,0.04875,1.3819,0.28042,1,0.046265,0.95124,0.78574,0.99176,39345,0.19673,0.28362,0.20793,0.05-0.95,0.16584,42.1,2026-08-02T05:01:04Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,2000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.07091,0.04875,1.4546,0.28042,1,0.046265,0.94676,0.77209,0.98954,39345,0.19673,0.29346,0.20793,0.05-0.95,0.17202,41.8,2026-08-02T05:01:57Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,300000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.13435,0.04875,2.7559,0.28042,1,0.046265,0.87608,0.66138,0.92865,39345,0.19673,0.37397,0.20793,0.05-0.95,0.29074,9.3,2026-08-02T04:57:41Z,data_d5_p0.010_r3.npz,pools_t200k,same-pool-tail,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,21143ecb76758106
