comparison,architecture,target_fraction,actual_params,seed,b_model_only_correct,c_other_only_correct,n_discordant,both_right,both_wrong,net_model_wins,chi2_cc,p_chi2,p_exact,note
model_vs_MWPM,gru,0.1,6920,0,3241,5720,8961,85860,5179,-2479,685.2453967191161,4.833238675154905e-151,5.337137237163622e-153,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.1,6920,1,3339,6261,9600,85319,5081,-2922,888.7751041666667,2.703928154156184e-195,2.17762839584144e-198,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.1,6920,2,3327,6386,9713,85194,5093,-3059,962.7678369195924,2.2251018078082406e-211,5.609276583258353e-215,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.25,17153,0,3263,4285,7548,87295,5157,-1022,138.1082405935347,6.901083158774884e-32,5.582128390668451e-32,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.25,17153,1,3279,4109,7388,87471,5141,-830,93.02125067677315,5.17358467304056e-22,4.69032673158742e-22,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.25,17153,2,3269,3911,7180,87669,5151,-642,57.225766016713095,3.885473587567513e-14,3.740232568158282e-14,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.5,34945,0,3271,3217,6488,88363,5149,54,0.43295314426633785,0.5105434318190283,0.5105465124923885,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.5,34945,1,3259,3942,7201,87638,5161,-683,64.59158450215249,9.21480869369146e-16,8.779237615557666e-16,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,0.5,34945,2,3199,3739,6938,87841,5221,-540,41.873882963390024,9.735434536589334e-11,9.532374695816383e-11,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,1.0,69441,0,3382,2877,6259,88703,5038,505,40.58411886882889,1.8833113241365484e-10,1.842423577250772e-10,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,1.0,69441,1,3353,3098,6451,88482,5067,255,10.000930088358395,0.0015646118509831065,0.0015626360080459368,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,gru,1.0,69441,2,3367,3016,6383,88564,5053,351,19.191602694657686,1.1823234865452495e-05,1.1766840143815603e-05,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,mlp,0.1,6931,0,3732,11486,15218,80094,4688,-7754,3949.8625969246946,0.0,0.0,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,mlp,0.1,6931,1,3663,10072,13735,81508,4757,-6409,2989.6224244630507,0.0,0.0,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,mlp,0.1,6931,2,3620,11001,14621,80579,4800,-7381,3725.080363860201,0.0,0.0,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,mlp,0.25,17389,0,3547,7403,10950,84177,4873,-3856,1357.1712328767123,4.259068334462458e-297,1.6520114854896277e-303,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,mlp,0.25,17389,1,3473,7062,10535,84518,4947,-3589,1221.9975320360702,1.0107824499659203e-267,4.176382705233617e-273,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,mlp,0.25,17389,2,3482,7418,10900,84162,4938,-3936,1420.5711009174313,7.117184952209e-311,5.970793e-318,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
model_vs_MWPM,mlp,0.5,34831,0,3361,5485,8846,86095,5059,-2124,509.5104001808727,8.104713471476231e-113,6.628346664931665e-114,paired on val_report; seeds share this slice so these p-values are not independent and are not combined
