component,n_unique_variables,n_params,variable_shapes
CNNStateCorrelator (state evolution + bias),30,21484,"CNNStateCorrelator_d3_r2_b:0(4, 1, 5) | CNNStateCorrelator_d3_r2_b:0(4, 1, 9) | CNNStateCorrelator_d3_r2_b:0(4, 1, 9) | CNNStateCorrelator_d3_r2_b:0(4, 1, 9) | CNNStateCorrelator_d3_r2_b:0(4, 1, 9) | CNNStateCorrelator_d3_r2_w_state_evolutions:0(4, 18, 5) | CNNStateCorrelator_d3_r2_w_state_evolutions:0(4, 18, 9) | CNNStateCorrelator_d3_r2_w_state_evolutions:0(4, 18, 9) | CNNStateCorrelator_d3_r2_w_state_evolutions:0(4, 18, 9) | CNNStateCorrelator_d3_r2_w_state_evolutions:0(4, 18, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 5) | CNNStateCorrelator_d3_r3_b:0(8, 1, 5) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_b:0(8, 1, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 5) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 5) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9) | CNNStateCorrelator_d3_r3_w_state_evolutions:0(8, 27, 9)"
CNNKernel detector-event weights,20,16564,"CNNKernelWithEmbedding_-1_1_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_-1_1_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_-1_1_w_det_evts:0(66, 9) | CNNKernelWithEmbedding_-1_1_w_det_evts:0(66, 9) | CNNKernelWithEmbedding_0_0_w_det_evts:0(136, 5) | CNNKernelWithEmbedding_0_0_w_det_evts:0(136, 5) | CNNKernelWithEmbedding_0_0_w_det_evts:0(66, 5) | CNNKernelWithEmbedding_0_0_w_det_evts:0(66, 5) | CNNKernelWithEmbedding_0_1_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_0_1_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_0_1_w_det_evts:0(66, 9) | CNNKernelWithEmbedding_0_1_w_det_evts:0(66, 9) | CNNKernelWithEmbedding_1_0_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_1_0_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_1_0_w_det_evts:0(66, 9) | CNNKernelWithEmbedding_1_0_w_det_evts:0(66, 9) | CNNKernelWithEmbedding_1_1_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_1_1_w_det_evts:0(136, 9) | CNNKernelWithEmbedding_1_1_w_det_evts:0(66, 9) | CNNKernelWithEmbedding_1_1_w_det_evts:0(66, 9)"
"decoder_head (StateDecoder, sized by hidden_specs)",6,12801,"full_rcnn_model_1/state_decoder_1/dense_3/bias:0(100,) | full_rcnn_model_1/state_decoder_1/dense_3/kernel:0(25, 100) | full_rcnn_model_1/state_decoder_1/dense_4/bias:0(100,) | full_rcnn_model_1/state_decoder_1/dense_4/kernel:0(100, 100) | full_rcnn_model_1/state_decoder_1/dense_5/bias:0(1,) | full_rcnn_model_1/state_decoder_1/dense_5/kernel:0(100, 1)"
CNNKernel detector-bit weights,10,9840,"CNNKernelWithEmbedding_-1_1_w_det_bits:0(120, 9) | CNNKernelWithEmbedding_-1_1_w_det_bits:0(120, 9) | CNNKernelWithEmbedding_0_0_w_det_bits:0(120, 5) | CNNKernelWithEmbedding_0_0_w_det_bits:0(120, 5) | CNNKernelWithEmbedding_0_1_w_det_bits:0(120, 9) | CNNKernelWithEmbedding_0_1_w_det_bits:0(120, 9) | CNNKernelWithEmbedding_1_0_w_det_bits:0(120, 9) | CNNKernelWithEmbedding_1_0_w_det_bits:0(120, 9) | CNNKernelWithEmbedding_1_1_w_det_bits:0(120, 9) | CNNKernelWithEmbedding_1_1_w_det_bits:0(120, 9)"
DetectorEventStateEmbedder,40,3324,"DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 34) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 36) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 52) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 52) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_neutral:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 120) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 34) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 36) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 52) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 52) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66) | DetectorEventStateEmbedder_npol2_params_nondiag_positive:0(1, 66)"
RCNNLeadInKernel triplet-state weights,5,1476,"RCNNLeadInKernel_-1_1_w_triplet_states:0(36, 9) | RCNNLeadInKernel_0_0_w_triplet_states:0(36, 5) | RCNNLeadInKernel_0_1_w_triplet_states:0(36, 9) | RCNNLeadInKernel_1_0_w_triplet_states:0(36, 9) | RCNNLeadInKernel_1_1_w_triplet_states:0(36, 9)"
RCNNRecurrenceKernel triplet-state weights,5,1476,"RCNNRecurrenceKernel_-1_1_w_triplet_states:0(36, 9) | RCNNRecurrenceKernel_0_0_w_triplet_states:0(36, 5) | RCNNRecurrenceKernel_0_1_w_triplet_states:0(36, 9) | RCNNRecurrenceKernel_1_0_w_triplet_states:0(36, 9) | RCNNRecurrenceKernel_1_1_w_triplet_states:0(36, 9)"
TripletStateProbEmbedder,20,1096,"TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_diag:0(1, 8) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 16, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 16, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4) | TripletStateProbEmbedder_d3_r3_npol2_params_nondiag:0(1, 28, 4)"
DetectorBitStateEmbedder,10,1064,"DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 120) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 52) | DetectorBitStateEmbedder_npol2_params_nondiag:0(1, 52)"
kernel combiners (TranslationFrac / TranslationPhase),88,360,"TranslationFrac_10:0(2,) | TranslationFrac_10:0(2,) | TranslationFrac_10:0(2,) | TranslationFrac_10:0(2,) | TranslationFrac_11:0(5,) | TranslationFrac_11:0(5,) | TranslationFrac_11:0(5,) | TranslationFrac_11:0(5,) | TranslationFrac_12:0(4,) | TranslationFrac_12:0(4,) | TranslationFrac_12:0(4,) | TranslationFrac_12:0(4,) | TranslationFrac_1:0(1,) | TranslationFrac_1:0(1,) | TranslationFrac_1:0(1,) | TranslationFrac_1:0(1,) | TranslationFrac_2:0(2,) | TranslationFrac_2:0(2,) | TranslationFrac_2:0(2,) | TranslationFrac_2:0(2,) | TranslationFrac_3:0(1,) | TranslationFrac_3:0(1,) | TranslationFrac_3:0(1,) | TranslationFrac_3:0(1,) | TranslationFrac_5:0(1,) | TranslationFrac_5:0(1,) | TranslationFrac_5:0(1,) | TranslationFrac_5:0(1,) | TranslationFrac_6:0(3,) | TranslationFrac_6:0(3,) | TranslationFrac_6:0(3,) | TranslationFrac_6:0(3,) | TranslationFrac_7:0(5,) | TranslationFrac_7:0(5,) | TranslationFrac_7:0(5,) | TranslationFrac_7:0(5,) | TranslationFrac_8:0(3,) | TranslationFrac_8:0(3,) | TranslationFrac_8:0(3,) | TranslationFrac_8:0(3,) | TranslationFrac_9:0(1,) | TranslationFrac_9:0(1,) | TranslationFrac_9:0(1,) | TranslationFrac_9:0(1,) | TranslationPhase_10:0(3,) | TranslationPhase_10:0(3,) | TranslationPhase_10:0(3,) | TranslationPhase_10:0(3,) | TranslationPhase_11:0(15,) | TranslationPhase_11:0(15,) | TranslationPhase_11:0(15,) | TranslationPhase_11:0(15,) | TranslationPhase_12:0(10,) | TranslationPhase_12:0(10,) | TranslationPhase_12:0(10,) | TranslationPhase_12:0(10,) | TranslationPhase_1:0(1,) | TranslationPhase_1:0(1,) | TranslationPhase_1:0(1,) | TranslationPhase_1:0(1,) | TranslationPhase_2:0(3,) | TranslationPhase_2:0(3,) | TranslationPhase_2:0(3,) | TranslationPhase_2:0(3,) | TranslationPhase_3:0(1,) | TranslationPhase_3:0(1,) | TranslationPhase_3:0(1,) | TranslationPhase_3:0(1,) | TranslationPhase_5:0(1,) | TranslationPhase_5:0(1,) | TranslationPhase_5:0(1,) | TranslationPhase_5:0(1,) | TranslationPhase_6:0(6,) | TranslationPhase_6:0(6,) | TranslationPhase_6:0(6,) | TranslationPhase_6:0(6,) | TranslationPhase_7:0(15,) | TranslationPhase_7:0(15,) | TranslationPhase_7:0(15,) | TranslationPhase_7:0(15,) | TranslationPhase_8:0(6,) | TranslationPhase_8:0(6,) | TranslationPhase_8:0(6,) | TranslationPhase_8:0(6,) | TranslationPhase_9:0(1,) | TranslationPhase_9:0(1,) | TranslationPhase_9:0(1,) | TranslationPhase_9:0(1,)"
