run,tag,d,n_train,units,seed,epochs,best_epoch,min_val_loss,val_acc_at_best,final_train_loss,final_val_loss,train_val_gap,p_L,ratio_vs_mwpm,verdict,reason
d5_u200_ntr10M_20260821T013355Z,gru_d5_p004_u200_hard_seed0_ntr10000000_b10000,5,10000000,200,0,200,11,0.023394,0.991665,0.011116,0.036613,0.025497,0.008579,1.1332,overfitting,val_loss rising over the last 20 epochs (+0.017 of its mean)
d5_u280_ntr10M_20260821T022005Z,gru_d5_p004_u280_hard_seed0_ntr10000000_b10000,5,10000000,280,0,200,9,0.025078,0.99109,0.007878,0.044169,0.036291,0.008975,1.1855,overfitting,val_loss rising over the last 20 epochs (+0.029 of its mean)
d5_u140_ntr15M_20260821T003354Z,gru_d5_p004_u140_hard_seed0_ntr15000000_b10000,5,15000000,140,0,200,30,0.020883,0.992785,0.015785,0.023084,0.007299,0.00752,0.9933,plateaued,train -0.005 and val -0.006 both flat over the tail
d5_u140_ntr15M_20260821T003354Z,gru_d5_p004_u140_hard_seed1_ntr15000000_b10000,5,15000000,140,1,200,37,0.020595,0.99298,0.01557,0.023049,0.00748,0.007484,0.9886,overfitting,val_loss rising over the last 20 epochs (+0.017 of its mean)
d5_u140_ntr15M_20260821T003354Z,gru_d5_p004_u140_hard_seed2_ntr15000000_b10000,5,15000000,140,2,200,27,0.020306,0.99299,0.015882,0.023011,0.00713,0.007533,0.9951,plateaued,train -0.004 and val +0.005 both flat over the tail
d7_u280_ntr10M_20260821T013540Z,gru_d7_p004_u280_hard_seed0_ntr10000000_b10000,7,10000000,280,0,200,27,0.03741,0.986695,0.016467,0.039994,0.023528,0.013338,3.1084,converged,val flat over the tail (-0.022) with train close behind
d7_u140_ntr15M_20260821T003354Z,gru_d7_p004_u140_hard_seed0_ntr15000000_b10000,7,15000000,140,0,200,167,0.025888,0.990885,0.022872,0.026851,0.00398,0.009506,2.2153,plateaued,train -0.004 and val -0.006 both flat over the tail
d7_u140_ntr15M_20260821T003354Z,gru_d7_p004_u140_hard_seed1_ntr15000000_b10000,7,15000000,140,1,200,183,0.024449,0.99122,0.020862,0.025026,0.004164,0.009034,2.1054,overfitting,val_loss rising over the last 20 epochs (+0.013 of its mean)
d7_u140_ntr15M_20260821T003354Z,gru_d7_p004_u140_hard_seed2_ntr15000000_b10000,7,15000000,140,2,200,167,0.030557,0.988785,0.030197,0.031301,0.001104,0.011109,2.5889,converged,val flat over the tail (-0.068) with train close behind
d9_u280_ntr10M_rep_20260821T013455Z,gru_d9_p004_u280_hard_seed1_ntr10000000_b10000,9,10000000,280,1,200,198,0.062686,0.97691,0.052593,0.065667,0.013073,0.023081,10.1801,plateaued,train +0.014 and val -0.005 both flat over the tail
d9_u280_ntr10M_rep_20260821T013455Z,gru_d9_p004_u280_hard_seed2_ntr10000000_b10000,9,10000000,280,2,200,194,0.064782,0.975875,0.051177,0.068419,0.017241,0.024429,10.7751,converged,val flat over the tail (-0.004) with train close behind
