architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,5,0,10000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.08324,,,0.35539,1,0.081585,0.95137,0.86081,0.99913,69048,0.34524,0.22106,0.21746,0.05-0.95,0.22201,535.1,2026-08-06T14:27:51Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,1,10000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.084195,,,0.35539,1,0.081585,0.95204,0.86275,0.99912,69048,0.34524,0.22373,0.21746,0.05-0.95,0.22188,541.8,2026-08-06T14:37:38Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,2,10000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.08404,,,0.35539,1,0.081585,0.95146,0.86124,0.99902,69048,0.34524,0.22315,0.21746,0.05-0.95,0.22222,546.5,2026-08-06T14:47:35Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,0,100000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.23924,,,0.35539,1,0.081585,0.7768,0.63084,0.85377,69048,0.34524,0.40594,0.21746,0.05-0.95,0.46229,15.4,2026-08-06T13:55:11Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,1,100000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.238825,,,0.35539,1,0.081585,0.77615,0.63058,0.85291,69048,0.34524,0.40304,0.21746,0.05-0.95,0.4627,15.1,2026-08-06T13:55:54Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,2,100000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.23661,,,0.35539,1,0.081585,0.77833,0.63131,0.85586,69048,0.34524,0.40242,0.21746,0.05-0.95,0.46366,14.8,2026-08-06T13:56:35Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,0,20000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.08255,,,0.35539,1,0.081585,0.95378,0.86727,0.99939,69048,0.34524,0.2193,0.21746,0.05-0.95,0.22015,1071.4,2026-08-06T14:58:02Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,1,20000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.081075,,,0.35539,1,0.081585,0.95565,0.87209,0.99971,69048,0.34524,0.21566,0.21746,0.05-0.95,0.21779,1078.2,2026-08-06T15:17:16Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,2,20000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.081665,,,0.35539,1,0.081585,0.95523,0.87121,0.99953,69048,0.34524,0.21704,0.21746,0.05-0.95,0.21772,1072.4,2026-08-06T15:36:26Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
gru_student,gru,evts,5,0.01,5,0,2000000,200000,0.0,1.0,0.003,,,,140,69441,50,50,10000,0.10417,,,0.35539,1,0.081585,0.92422,0.7994,0.99004,69048,0.34524,0.26558,0.21746,0.05-0.95,0.25424,116.5,2026-08-06T14:04:11Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,teacher_r5_seed0_first20M.npz,e7415f4fe63f358a,835d7168321aa9e8,7b91eea1d465d6e9
