architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,5,0,10000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.08037,,,0.35539,1,,,,,,,,,0.05-0.95,0.19184,535.9,2026-08-05T03:55:15Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,1,10000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.082405,,,0.35539,1,,,,,,,,,0.05-0.95,0.19702,535.5,2026-08-05T04:04:59Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,2,10000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.08157,,,0.35539,1,,,,,,,,,0.05-0.95,0.19454,537.8,2026-08-05T04:14:31Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,0,100000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.248025,,,0.35539,1,,,,,,,,,0.05-0.95,0.48165,14.7,2026-08-05T03:25:36Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,1,100000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.251065,,,0.35539,1,,,,,,,,,0.05-0.95,0.48424,14.8,2026-08-05T03:26:09Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,2,100000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.25332,,,0.35539,1,,,,,,,,,0.05-0.95,0.48743,14.8,2026-08-05T03:26:41Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,0,20000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.07916,,,0.35539,1,,,,,,,,,0.05-0.95,0.18895,1037.2,2026-08-05T17:00:00Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,1,20000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.080585,,,0.35539,1,,,,,,,,,0.05-0.95,0.19154,1038.6,2026-08-05T17:18:22Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,2,20000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.07588,,,0.35539,1,,,,,,,,,0.05-0.95,0.18492,1048.8,2026-08-05T17:36:54Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,0,2000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.10997,,,0.35539,1,,,,,,,,,0.05-0.95,0.24978,116.5,2026-08-05T03:32:56Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,1,2000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.11461,,,0.35539,1,,,,,,,,,0.05-0.95,0.25893,117.5,2026-08-05T03:35:15Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,2,2000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.10542,,,0.35539,1,,,,,,,,,0.05-0.95,0.24219,115.6,2026-08-05T03:37:33Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,0,300000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.206375,,,0.35539,1,,,,,,,,,0.05-0.95,0.41264,25.3,2026-08-05T03:27:12Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,1,300000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.21033,,,0.35539,1,,,,,,,,,0.05-0.95,0.42045,25.6,2026-08-05T03:27:54Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,2,300000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.21118,,,0.35539,1,,,,,,,,,0.05-0.95,0.42019,25.5,2026-08-05T03:28:37Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,0,5000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.086885,,,0.35539,1,,,,,,,,,0.05-0.95,0.20677,271.6,2026-08-05T03:40:00Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,1,5000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.09011,,,0.35539,1,,,,,,,,,0.05-0.95,0.21065,271.9,2026-08-05T03:45:02Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,2,5000000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.088375,,,0.35539,1,,,,,,,,,0.05-0.95,0.20872,270.8,2026-08-05T03:50:05Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,0,800000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.15223,,,0.35539,1,,,,,,,,,0.05-0.95,0.32754,51.6,2026-08-05T03:29:21Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,1,800000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.16055,,,0.35539,1,,,,,,,,,0.05-0.95,0.33837,52.3,2026-08-05T03:30:31Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
gru_student,gru,evts,5,0.01,5,2,800000,200000,1.0,1.0,0.003,,,,140,69441,50,50,10000,0.154715,,,0.35539,1,,,,,,,,,0.05-0.95,0.33376,51.2,2026-08-05T03:31:42Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,0,10000000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.098545,,,0.35539,1,,,,,,,,,0.05-0.95,0.22808,156.1,2026-08-05T03:16:41Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,1,10000000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.09624,,,0.35539,1,,,,,,,,,0.05-0.95,0.22469,151.1,2026-08-05T03:19:43Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,2,10000000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.097885,,,0.35539,1,,,,,,,,,0.05-0.95,0.22656,157.8,2026-08-05T03:22:41Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,0,100000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.32988,,,0.35539,1,,,,,,,,,0.05-0.95,0.56301,7.0,2026-08-05T03:04:37Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,1,100000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.319425,,,0.35539,1,,,,,,,,,0.05-0.95,0.56318,7.4,2026-08-05T03:05:00Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,2,100000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.329025,,,0.35539,1,,,,,,,,,0.05-0.95,0.56267,8.0,2026-08-05T03:05:24Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,0,20000000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.09198,,,0.35539,1,,,,,,,,,0.05-0.95,0.21378,289.1,2026-08-05T17:55:01Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,1,20000000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.092655,,,0.35539,1,,,,,,,,,0.05-0.95,0.21799,288.2,2026-08-05T18:00:27Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,2,20000000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.094225,,,0.35539,1,,,,,,,,,0.05-0.95,0.21981,300.3,2026-08-05T18:05:54Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
mlp_student,mlp,evts,5,0.01,5,0,2000000,200000,1.0,1.0,0.003,,,209-209,,69389,50,50,10000,0.127435,,,0.35539,1,,,,,,,,,0.05-0.95,0.28667,34.7,2026-08-05T03:08:50Z,data_d5_p0.010_r5_FORMAL.npz,pools_r5,same-pool-tail,,,,ea19893f9bc2fd67
