architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,0,20000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.051435,,,0.28042,1,0.046265,0.97119,0.85691,0.99918,39345,0.19673,0.23157,0.20793,0.05-0.95,0.13561,382.8,2026-08-03T16:08:40Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,20000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.052275,,,0.28042,1,0.046265,0.97039,0.85368,0.99897,39345,0.19673,0.23474,0.20793,0.05-0.95,0.13702,385.5,2026-08-03T16:15:38Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,20000000,200000,0.0,1.0,0.003,,,17153,50,50,10000,0.054115,,,0.28042,1,0.046265,0.96768,0.8415,0.99858,39345,0.19673,0.2426,0.20793,0.05-0.95,0.13939,391.4,2026-08-03T16:22:38Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
gru_student,gru,evts,5,0.01,3,0,20000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.05261,,,0.28042,1,0.046265,0.96742,0.84171,0.9982,39345,0.19673,0.23385,0.20793,0.05-0.95,0.13079,372.3,2026-08-03T15:34:56Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
gru_student,gru,evts,5,0.01,3,1,20000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.0524,,,0.28042,1,0.046265,0.96805,0.84361,0.99852,39345,0.19673,0.23388,0.20793,0.05-0.95,0.13008,396.9,2026-08-03T15:41:43Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
gru_student,gru,evts,5,0.01,3,2,20000000,200000,1.0,1.0,0.003,,,17153,50,50,10000,0.05374,,,0.28042,1,0.046265,0.96534,0.83213,0.99796,39345,0.19673,0.23856,0.20793,0.05-0.95,0.13235,385.7,2026-08-03T15:48:56Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,20000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.052515,,,0.28042,1,0.046265,0.97082,0.8551,0.99916,39345,0.19673,0.23657,0.20793,0.05-0.95,0.13586,231.4,2026-08-03T15:55:43Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,1,20000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.052505,,,0.28042,1,0.046265,0.97155,0.85884,0.99915,39345,0.19673,0.23655,0.20793,0.05-0.95,0.13503,233.6,2026-08-03T15:59:55Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,2,20000000,200000,0.0,1.0,0.003,,,25985,50,50,10000,0.051435,,,0.28042,1,0.046265,0.97245,0.86273,0.99932,39345,0.19673,0.23185,0.20793,0.05-0.95,0.13339,236.0,2026-08-03T16:04:10Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,0,20000000,200000,1.0,1.0,0.003,,,25985,50,50,10000,0.05106,,,0.28042,1,0.046265,0.96913,0.8472,0.99899,39345,0.19673,0.22903,0.20793,0.05-0.95,0.1282,236.6,2026-08-03T15:21:42Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,1,20000000,200000,1.0,1.0,0.003,,,25985,50,50,10000,0.05373,,,0.28042,1,0.046265,0.96637,0.83683,0.9981,39345,0.19673,0.23924,0.20793,0.05-0.95,0.1307,241.4,2026-08-03T15:26:02Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
mlp_student,mlp,evts,5,0.01,3,2,20000000,200000,1.0,1.0,0.003,,,25985,50,50,10000,0.05131,,,0.28042,1,0.046265,0.96949,0.85065,0.9986,39345,0.19673,0.22882,0.20793,0.05-0.95,0.12808,238.1,2026-08-03T15:30:24Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,21143ecb76758106
