architecture,student,inputs,d,p,rounds,seed,n_train,n_test,alpha,temperature,lr,weight_bits,act_bits,hidden,units,n_params,epochs,epochs_ran,batch_size,p_L,mwpm_p_L,ratio_vs_mwpm,base_rate,beats_base_rate,teacher_tail_p_L,agree_all,agree_ambiguous,agree_confident,n_ambiguous,frac_ambiguous,student_p_L_ambiguous,teacher_p_L_ambiguous,ambiguous_band,best_val_loss,train_time_s,run_utc,train_pool,train_pool_dir,test_pool,teacher_cache,teacher_weights_sha,train_pool_flips_sha,code_sha
gru_student,gru,evts,5,0.01,3,0,10000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.049655,,,0.28042,1,0.046265,0.97359,0.86819,0.9994,39345,0.19673,0.22313,0.20793,0.05-0.95,0.13205,289.2,2026-08-03T20:13:25Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,10000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.049465,,,0.28042,1,0.046265,0.97465,0.87338,0.99945,39345,0.19673,0.22221,0.20793,0.05-0.95,0.13112,284.5,2026-08-03T20:18:36Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,10000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.049695,,,0.28042,1,0.046265,0.97378,0.86974,0.99926,39345,0.19673,0.22259,0.20793,0.05-0.95,0.13206,286.7,2026-08-03T20:23:41Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,100000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.169665,,,0.28042,1,0.046265,0.83835,0.62971,0.88945,39345,0.19673,0.39675,0.20793,0.05-0.95,0.35651,6.6,2026-08-04T02:26:45Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,100000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.166655,,,0.28042,1,0.046265,0.84157,0.63304,0.89264,39345,0.19673,0.39489,0.20793,0.05-0.95,0.35147,6.2,2026-08-04T02:27:02Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,100000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.167885,,,0.28042,1,0.046265,0.84004,0.63078,0.89129,39345,0.19673,0.39609,0.20793,0.05-0.95,0.35138,6.3,2026-08-04T02:27:17Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,20000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.048625,,,0.28042,1,0.046265,0.97615,0.87993,0.99971,39345,0.19673,0.21896,0.20793,0.05-0.95,0.12866,566.8,2026-08-03T20:29:02Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,20000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.048065,,,0.28042,1,0.046265,0.97692,0.88362,0.99977,39345,0.19673,0.21629,0.20793,0.05-0.95,0.12802,571.4,2026-08-03T20:39:05Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,20000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.048685,,,0.28042,1,0.046265,0.97581,0.87846,0.99965,39345,0.19673,0.21891,0.20793,0.05-0.95,0.12911,572.5,2026-08-03T20:49:13Z,data_d5_p0.010_r3.npz,pools_20M,data_d5_p0.010_r3.npz,teacher_seed1_prefix20000000_pools_20M.npz,59c332f6124da5c8,90f0a00cfbf9e356,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,2000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.06091,,,0.28042,1,0.046265,0.95927,0.81304,0.99508,39345,0.19673,0.26374,0.20793,0.05-0.95,0.15373,60.1,2026-08-04T02:30:34Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,1,2000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.06169,,,0.28042,1,0.046265,0.95793,0.80592,0.99516,39345,0.19673,0.26801,0.20793,0.05-0.95,0.15271,59.2,2026-08-04T02:31:46Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,2,2000000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.062105,,,0.28042,1,0.046265,0.9575,0.80953,0.99374,39345,0.19673,0.26471,0.20793,0.05-0.95,0.15621,59.9,2026-08-04T02:32:56Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
gru_student,gru,evts,5,0.01,3,0,300000,200000,0.0,1.0,0.003,,,,119,51528,50,50,10000,0.12486,,,0.28042,1,0.046265,0.88665,0.67266,0.93905,39345,0.19673,0.36711,0.20793,0.05-0.95,0.27137,12.0,2026-08-04T02:27:33Z,data_d5_p0.010_r3.npz,pools_t200k,data_d5_p0.010_r3.npz,teacher_seed1_prefix10000000_pools_t200k.npz,59c332f6124da5c8,61c91845d4810944,56fe6df78b7c94e6
